,name,price,url,description,Alcohol percentage,Bottle volume ml,Brand,Gift box,Country of origin,Type,Vintage,years old,brand_match,brand_match2,missing_brands
10,Aberlour 12 Year Non Chill-Filtered 700ml w/Gift Box,102.99,https://www.paneco.com.sg/products/aberlour-12-year-non-chill-filtered-700ml-w-gift-box,"
                  An unchill-filtered expression, Aberlour 12 Year Old Non Chill-Filtered is packed with flavours that are all from the whiskies that make it (and not the filtration system!). This delightful dram features intense flavours of dark chocolate, cinnamon, nutmeg, caramel and nutty hues.
                ",48,700ml,aberlour,Yes,Scotland,,,12 Year,aberlour,aberlour,
11,Aberlour 16 Year 700ml w/Gift Box,169.95,https://www.paneco.com.sg/products/aberlour-16-year-single-malt-700ml-w-gift-box,"
                  Aberlour 16 Year is matured in a combination of ex-bourbon casks and the finest ex-sherry butts. This maturation ensures the depth of character as well as the distinctive fruitiness and spiciness of Aberlour.
                ",43,700ml,aberlour,No,Scotland,,,16 Year,aberlour,aberlour,
12,Aberlour A'bunadh 700ml Batch 66 Single Malt 700ml w/ Gift Box,174.5,https://www.paneco.com.sg/products/aberlour-a-bunadh-700ml-batch-66-single-malt-700ml-w-gift-box,"
                  Batch 66 of Aberlour’s popular A’bunadh single malt, like its predecessors, was aged in a single sherry cask. The term ‘A’bunadh’ means ‘the original’ in Gaelic – a name chosen thanks to the process employed here, which avoids chill filtering. Expect deep spice, praline and orange, with black cherry and ginger prominent in the body.
                ",59.2,700ml,aberlour,Yes,Scotland,,,,aberlour,aberlour,
13,Akashi Meisei 500ml Gift Pack w/2 Glasses,82,https://www.paneco.com.sg/products/akashi-meisei-500ml-gift-pack-w-2-glasses,"
                  ""Meisei"" translates as 'celebrity' in Japanese. Reports have it that this whisky was made with 45% American oak matured single malt.
                ",40,500ml,akashi,Yes,Japan,,,,-,-,akashi
14,Akashi Red 500ml,49.8,https://www.paneco.com.sg/products/akashi-red-500ml,"
This is a blended of malt and grain whiskies. It has the name simply due to the color of the label.Eigashima Shuzo Co. Ltd. is one of the oldest family-run distillery with nearly 100 years of whisky-making experience in Japan. Established in 1679, Eigashima was once considered among the top 100 Japanese corporations during the Meiji period (the peak era in Japanese history).Eigashima has been making sake and shochu with Japanese traditional craftsmanship since 1888, and as the first distillery to obtain a license to make whisky in Japan in 1919, is a true pioneer in its field. Known for its clean air and water, the city of Akashi is located in close proximity of Osaka, which overlooks the beautiful Seto Inland Sea; Akashi is the only distillery in Japan situated by the sea. With the translated “HONESTY” as the company motto throughout the centuries, Eigashima’s ninth generation leader, Mr. Hiraishi has uncompromising standards for each drop of it’s products.It releases its whisky under the name ""White Oak"".
                ",40,500ml,akashi,No,Japan,,,,-,-,akashi
15,"Akashi White Oak ""Black"" 500ml w/Gift Box",56.5,https://www.paneco.com.sg/products/akashi-white-oak-black-500ml-w-gift-box,"
Akashi whisky is the only whisky in the world that is made by a Toji (grand-master in the art of sake making) by implementing sake-making methodologies into the whisky making process. The distil pot used is smaller than those used by both Scottish and other Japanese distilleries, which in turn, decreases the levels of fusel alcohol. As a result, Akashi whisky does not require as long of an ageing process, while its core malt (cask strength) is smooth and delicate.Akashi White Oak is a blended whisky reserved in Japanese Shochu cask (American Oak) for 3 years, aged in ex-bourbon casks before finishing in ex-sherry casks for 2 years.
                ",40,500ml,akashi,Yes,Japan,,,,-,-,akashi
16,anCnoc 12 Year 700ml w/Gift box,123.8,https://www.paneco.com.sg/products/ancnoc-12-year-single-malt-700ml-w-gift-box,"
                  The anCnoc 12 year old is renowned the world over. Known as a must-have in any whisky drinker’s collection, it’s light and yet complex. Smooth yet challenging. And each twist and turn delivers a surprise. In fact, this is a dram that has something for everyone.
                ",40,700ml,ancnoc,Yes,Scotland,,,12 Year,-,-,ancnoc
17,anCnoc 18 Year 700ml w/Gift Box,224.95,https://www.paneco.com.sg/products/ancnoc-18-year-single-malt-700ml-w-gift-box,"
Matured in Spanish oak ex-sherry casks and American oak ex-bourbon barrels and has been bottled in its most natural form, neither chill-filtered nor coloured. This dram may develop a light haze with the addition of water or if kept at a cold temperature. This haze is a natural characteristic of whisky that is non chill-filtered.
                ",46,700ml,ancnoc,Yes,Scotland,,,18 Year,-,-,ancnoc
18,anCnoc Peatheart 700ml w/Gift Box,169.95,https://www.paneco.com.sg/products/ancnoc-peatheart-single-malt-700ml-w-gift-box,"
Throughout the Scottish uplands, most extensively in the north and west, you will find the heart of the peatlands.  Remote and isolated yet rich in iconic wildlife, this environment rules the landscape and provides a valuable fuel for the whisky-making process.Peatiness can be controlled by the amount of peat burnt and the humidity of the barley. Peat smoke produces chemicals called phenols and it is by its phenol content that a whisky's 'peatiness' can be measured. This phenol content is expressed as PPM (parts per million) and to ensure consistency, Peatheart uses barley, specified by the Master Blender, malted to 40PPM.  
                ",46,700ml,ancnoc,Yes,Scotland,,,,-,-,ancnoc
19,Ardbeg An Oa 1L,164.95,https://www.paneco.com.sg/products/ardbeg-an-oa-single-malt-1l,"
Ardbeg An Oa is singularly rounded, due in no small part to time spent in our newly established bespoke oak Gathering Vat where whiskies from several cask types - including; sweet Pedro Ximenez; spicy virgin charred oak; and intense ex-bourbon casks, amongst others - familiarise themselves with each other. The result is a dram with smoky power, mellowed by a delectable, smooth sweetness. Hallmark Ardbeg peat, dark chocolate and aniseed are wrapped in smooth, silky butterscotch, black pepper and clove, before rising to an intense crescendo of flavour.
                ",46.6,1000ml,ardbeg,No,Scotland,,,,-,-,ardbeg
20,Ardmore Traditional Peated 1L w/Gift Box,109.5,https://www.paneco.com.sg/products/ardmore-traditional-peated-single-malt-1l-w-gift-box,"
Smoothly peated, yet perfectly balanced - The Ardmore Traditional Peated harks back to the craft and heritage of Highland malts. Matured in ex-bourbon and quarter casks (120L), it evokes full rich flavours of sweet ripe fruit and smooth vanilla, with a familiar hint of light peat smoke.
                ",40,1000ml,ardmore,Yes,Scotland,,,,-,-,ardmore
21,Arran Machrie Moor Peated Cask Strength Single Malt 700ml w/Gift Box,129.5,https://www.paneco.com.sg/products/arran-machrie-moor-cask-strength-single-malt-700ml-w-gift-box,"
The cask strength release of the Machrie Moor has now joined the range of core releases from the Arran distillery for good. The smokiness comes through at first but is quickly chased by light fruity notes, making for a complicated but easy drinking experience.
                ",56.2,700ml,arran,Yes,Scotland,,,,-,-,arran
22,Arran Quarter Cask Single Malt 700ml w/Gift Box,134.5,https://www.paneco.com.sg/products/arran-quarter-cask-single-malt-700ml-w-gift-box,"
The Arran Single Malt selected for this cask strength expression was initially matured in first-fill ex-Bourbon barrels for 7 years before being transferred for secondary maturation into smaller Quarter casks also made of the finest American oak for a further 2 years. The end result is a full-bodied expression of Arran Single Malt combining power and finesse full of rich vanilla sweetness and bold peppery spice. 
                ",56.2,700ml,arran,Yes,Scotland,,,,-,-,arran
23,Arran Sauternes Cask Finish Single Malt 700ml w/Gift Box,134.5,https://www.paneco.com.sg/products/arran-sauternes-cask-finish-single-malt-700ml-w-gift-box,"
Arran Single Malt is matured in oak casks for eight years and is then 'finished' in a selection of Sauternes wine casks. These Bordeaux sweet white wine casks are specifically selected by the Master Distiller from a talented small producer to ensure the notes from both wine and whisky make the perfect marriage.
                ",50,700ml,arran,Yes,Scotland,,,,-,-,arran
24,Auchentoshan 18 Year Single Malt 700ml w/Gift Box,154.95,https://www.paneco.com.sg/products/auchentoshan-18-year-single-malt-700ml-w-gift-box,"
                  Triple distilled and matured in American bourbon oak for over eighteen years. The result: a refreshing Lowland single malt whisky with the added infusion of ripe citrus and green tea, the warmth of toasted almonds and the signature smooth, delicate, Auchentoshan taste.
                ",43,700ml,auchentoshan,Yes,Scotland,,,18 Year,auchentoshan,auchentoshan,
25,Auchentoshan 1988 PX Cask 700ml w/Gift Box,919.95,https://www.paneco.com.sg/products/auchentoshan-1988-px-cask-single-malt-700ml-w-gift-box,"
                  The Auchentoshan 1988 PX Cask is aged initially for eight years in American ex-bourbon casks, before being finished for 17 years in first-fill Bordeaux barriques. Expect spicy and full of red-fruit flavours.
                ",49.7,700ml,auchentoshan,Yes,Scotland,,,,auchentoshan,auchentoshan,
26,Auchentoshan 21 Year Single Malt 700ml w/Gift Box,258.9,https://www.paneco.com.sg/products/auchentoshan-21-year-single-malt-700ml-w-gift-box,"
                  Triple distilled and aged perfectly for over twenty one years in American bourbon and Spanish sherry casks. This creates a refined Lowland Single Malt Whisky, ripe with gooseberries and sweet creamy vanilla.
                ",43,700ml,auchentoshan,Yes,Scotland,,,21 Year,auchentoshan,auchentoshan,
27,Auchentoshan American Oak Single Malt 1L w/ Gift Box,119.95,https://www.paneco.com.sg/products/auchentoshan-american-oak-single-malt-1l-w-gift-box,"
Auchentoshan American Oak Scott Whisky is triple distilled and matured solely in American bourbon casks. The result: a Lowland Single Malt Whisky with the sweet aromas of vanilla and coconut - along with the signature smooth, delicate, Auchentoshan taste. Like all Auchentoshan, American Oak is a really versatile Single Malt. It works wonders as an Auchentoshan & Ale, is happy to stand on its own neat or over ice but also shakes up some classic cocktails that you might not think work with Single Malt whisky. Bright gold in color, bourbon vanilla and coconut notes with layers of zesty citrus fruit. Refreshingly smooth yet lively with vanilla cream, coconut and white peach. Crisp with sugared grapefruit and a hint of spice on the finish.

                ",40,1000ml,auchentoshan,Yes,Scotland,,,,auchentoshan,auchentoshan,
28,Auchentoshan American Oak Single Malt 700ml w/ Gift Box,82.5,https://www.paneco.com.sg/products/auchentoshan-american-oak-single-malt-700ml-w-gift-box,"
Auchentoshan American Oak Scott Whisky is triple distilled and matured solely in American bourbon casks. The result: a Lowland Single Malt Whisky with the sweet aromas of vanilla and coconut - along with the signature smooth, delicate, Auchentoshan taste. Like all Auchentoshan, American Oak is a really versatile Single Malt. It works wonders as an Auchentoshan & Ale, is happy to stand on its own neat or over ice but also shakes up some classic cocktails that you might not think work with Single Malt whisky. Bright gold in color, bourbon vanilla and coconut notes with layers of zesty citrus fruit.
                ",40,700ml,auchentoshan,Yes,Scotland,,,,auchentoshan,auchentoshan,
29,Auchentoshan Bartenders Single Malt 700ml w/Gift Box,151,https://www.paneco.com.sg/products/auchentoshan-bartenders-single-malt-700ml-w-gift-box,"
                  The Bartender׳s Malt is a bespoke collaboration of whiskies selected by 12 of the most innovative bartenders in the world. The malt ranges from 5 different decades, matured in a diverse range of oaks including American and European, as well as a variety of sherry casks, red wine barriques and German Oak.
                ",47,700ml,auchentoshan,Yes,Scotland,,,,auchentoshan,auchentoshan,
30,Auchentoshan Blood Oak 14 Year Single Malt 700ml w/ Gift Box,127.5,https://www.paneco.com.sg/products/auchentoshan-blood-oak-14-year-single-malt-700ml-w-gift-box,"
                  Auchentoshan Blood Oak earned its name as the result of being aged in bourbon and red wine casks, giving it deep crimson hues. Part of our Global Travel Retail Exclusives range, it packs a punch of spice with notes of red fruit and ginger. Deep crimson gold, rich and enticing with raspberry, damson plum, vanilla and maraschino cherry. Sweet and tannic with a burst of blood orange, nutmeg and ginger. Long finish with redcurrant and the lingering warmth of oak spice.
                ",46,700ml,auchentoshan,Yes,Scotland,,,14 Year,auchentoshan,auchentoshan,
31,Auchentoshan Blood Oak Single Malt 1L w/Gift Box,174.95,https://www.paneco.com.sg/products/auchentoshan-blood-oak-single-malt-1l-w-gift-box,"
                  Auchentoshan Blood Oak is matured in a combination of bourbon and red-wine casks. Spicy with notes of red fruit and ginger.
                ",46,1000ml,auchentoshan,Yes,Scotland,,,,auchentoshan,auchentoshan,
32,Auchentoshan Dark Oak Single Malt 1L w/Gift Box,148.9,https://www.paneco.com.sg/products/auchentoshan-dark-oak-single-malt-1l-w-gift-box,"
Auchentoshan Dark Oak is triple-distilled for smoothness then mellowed in bourbon, Oloroso and Pedro Ximenez sherry casks for added complexity.The result is a lively and refined malt with notes of vanilla and red fruits.
                ",43,1000ml,auchentoshan,Yes,Scotland,,,,auchentoshan,auchentoshan,
33,Auchentoshan Heartwood Single Malt 1L w/Gift Box,124.5,https://www.paneco.com.sg/products/auchentoshan-heartwood-single-malt-1l-w-gift-box,"
                  Auchentoshan Heartwood is made with triple distilled single malt Scotch whisky which has been matured in both Oloroso Sherry casks and bourbon casks, resulting in a very well balanced expression from the Lowland distillery.
                ",43,1000ml,auchentoshan,Yes,Scotland,,,,auchentoshan,auchentoshan,
34,Auchentoshan Springwood Single Malt 1L w/Gift Box,99,https://www.paneco.com.sg/products/auchentoshan-springwood-single-malt-1l-w-gift-box,"
                  Springwood takes its name from the new wood growth that is laid down in the height of the season. Fittingly, Auchentoshan chooses only the finest North American oak hogshead and barrels - casks which once held American bourbon - and as the liquid ages through the years, spirit and wood work together to build their Springwood׳s character.
                ",40,1000ml,auchentoshan,Yes,Scotland,,,,auchentoshan,auchentoshan,
35,Auchentoshan Three Wood Single Malt 700ml w/Gift Box,109.8,https://www.paneco.com.sg/products/auchentoshan-three-wood-single-malt-700ml-w-gift-box,"
This award-winning Auchentoshan has been matured in three different cask types.From American Bourbon to Spanish Oloroso Sherry - and finally Pedro Ximenez Sherry casks - this is a rich, complex whisky with toffee and sherry flavours.Three Wood makes a cracking Auchentoshan & Ale, a mean Old Fashioned and a damn fine dram.
                ",43,700ml,auchentoshan,Yes,Scotland,,,,auchentoshan,auchentoshan,
36,Auchroisk 10 Year Old Flora & Fauna 700ml,151,https://www.paneco.com.sg/products/auchroisk-10-year-flora-fauna-single-malt-700ml,"
A smooth apéritif whisky which is pleasant and light. It opens up to reveal a sweet and fresh nutty seeds. The finishing is short but well balanced.Auchroisk works best served in a traditional whisky glass, neat or with a little water.
                ",43,700ml,auchroisk,No,Scotland,,,10 Year,-,-,auchroisk
37,Aultmore 12 Year Single Malt 1L w/Gift Box,149.5,https://www.paneco.com.sg/products/aultmore-12-year-single-malt-1l-w-gift-box,"
                  Aultmore 12 year was unveiled in 2014 for the Last Great Malts by Dewar's. A refreshing dram, with plenty of vanilla, honey and citrus, alongside a touch of grassiness. 
                ",46,1000ml,aultmore,No,Scotland,,,12 Year,-,-,aultmore
38,Aultmore 12 Year Single Malt 700ml w/Gift Box,117.9,https://www.paneco.com.sg/products/aultmore-12-year-single-malt-700ml-w-gift-box,"
                  Aultmore 12 year was unveiled in 2014 for the Last Great Malts by Dewar's. A refreshing dram, with plenty of vanilla, honey and citrus, alongside a touch of grassiness. 
                ",46,700ml,aultmore,Yes,Scotland,,,12 Year,-,-,aultmore
39,Aultmore 18 Year Single Malt 700ml w/Gift Box,188,https://www.paneco.com.sg/products/aultmore-18-year-single-malt-1l-w-gift-box,"
                  Aultmore 18 year was launched in 2015 as part of John Dewar & Sons' Last Great Malts ranges. This single malt whisky from Speyside is aged for 18 years in American white oak casks. It is evocative of ethereal summer nights where the air is filled with aromas of rosemary and olive olive.
                ",46,700ml,aultmore,Yes,Scotland,,,18 Year,-,-,aultmore
40,Aultmore 21 Year Single Malt 700ml w/Gift Box,377.95,https://www.paneco.com.sg/products/aultmore-21-year-single-malt-700ml-w-gift-box,"
Matured in refill hogsheads for its full term, this 21-year-old is bottled at 46% abv and is highly sought-after for premium blended whiskies which has traditionally meant that single malt expressions were rare.This expression is sweet and fruity with herbal notes alongside soft melon, olive oil, and cereals, before a smooth and long lasting finish.
                ",46,700ml,aultmore,Yes,Scotland,,,21 Year,-,-,aultmore
41,Bakers Bourbon 750ml,98,https://www.paneco.com.sg/products/bakers-bourbon-750ml,"
                  Baker Beam, nephew of Jim Beam, is the namesake for this installment of the Jim Beam Small Batch Collection. Baker's is 2nd youngest, but next to highest proof in the collection and utilizes a yeast strain that has been in the family for more than 60 years. Note: One of the unsung heros from the Small Batch Collection.
                ",53.5,750ml,baker's bourbon,No,United States,Bourbon,,,-,-,baker's bourbon
42,Balblair 15 Year Single Malt 1L w/Gift Box,208.95,https://www.paneco.com.sg/products/balblair-15-year-single-malt-1l-w-gift-box,"
                  Tropical and mature, with the texture of melted chocolate and one of the finest finishes a single malt can bring, this stunning whisky calls for quiet admiration. Round and velvety, yet developed and fresh. Smoothed over by time, but with a beating heart.
                ",46,1000ml,balblair,Yes,Scotland,,,15 Year,-,-,balblair
43,Balblair 15 Year Single Malt 700ml w/Gift Box,179.95,https://www.paneco.com.sg/products/balblair-15-year-single-malt-700ml-w-gift-box,"
                  This expression of Balblair was first matured in ex-Bourbon American oak casks then it was transferred into first fill Spanish oak butts. Not so much of a finish but a maturation. A big bold whisky with heaps of fruit and chocolate flavours.
                ",46,700ml,balblair,Yes,Scotland,,,15 Year,-,-,balblair
44,Balblair 18 Year Single Malt 700ml w/Gift Box,227,https://www.paneco.com.sg/products/balblair-18-year-single-malt-700ml-w-gift-box,"
                  Balblair 18 is a rich and autumnal expression, developed and amplified to unexpected heights, while staying perfectly balanced and closely tied to the bright and fruity character of the Distillery.
                ",46,700ml,balblair,Yes,Scotland,,,18 Year,-,-,balblair
45,Ballantines 12 Year 1L,84.98,https://www.paneco.com.sg/products/ballantines-12-year,"
                  A rich, smooth and creamy blend with flowery, sweet and delicate aromas, composed from at least 50 different malts that undergo aging for a minimum of 12 years. Over the years the whiskey has won many international prizes, and it is considered to be preferred by those of refined palate worldwide.
                ",40,1000ml,ballantines,No,Scotland,,,12 Year,ballantines,ballantines,
46,Ballantines 12 Year 700ml w/Gift Box,64.5,https://www.paneco.com.sg/products/ballantines-12-year-700ml-w-gift-box,"
                  A rich, smooth and creamy blend with flowery, sweet and delicate aromas, composed from at least 50 different malts that undergo aging for a minimum of 12 years.
                ",40,700ml,ballantines,Yes,Scotland,,,12 Year,ballantines,ballantines,
47,Ballantines 12 Year 750ml w/ Gift Box,67.95,https://www.paneco.com.sg/products/ballantines-12-year-750ml-w-gift-box,"
                  A rich, smooth and creamy blend with flowery, sweet and delicate aromas, composed from at least 50 different malts that undergo aging for a minimum of 12 years. Over the years the whiskey has won many international prizes, and it is considered to be preferred by those of refined palate worldwide.
                ",40,750ml,ballantines,Yes,Scotland,,,12 Year,ballantines,ballantines,
48,Ballantines 15 Year Blended 700ml w/Gift Box,79.65,https://www.paneco.com.sg/products/ballantines-15-year-blended-700ml-w-gift-box,"
The Ballantines 15 Year Blended Scotch brings together various types of single malts and single grains in one bottle! Its flavour profile takes on some of the dna from Miltonduff and Glenburgie. Enjoy it neat or with cocktails. 
                ",40,700ml,ballantines,Yes,Scotland,,,15 Year,ballantines,ballantines,
49,Ballantines 17 Year 750ml w/Gift Box,97.5,https://www.paneco.com.sg/products/ballantines-17-year-750ml-w-gift-box,"
Sweet, fruity and gently spiced A drink to impress and share with friends The world's first and most awarded 17 Year Old blended ScotchAn impressive blend of whiskies aged 17 years and over that's perfect for sharing with friends.
                ",40,750ml,ballantines,Yes,Scotland,,,17 Year,ballantines,ballantines,
50,Ballantines 21 Year 700ml w/Gift Box,148.9,https://www.paneco.com.sg/products/ballantines-21-year-w-gift-box,"
                  Ballantine's 21 Year old is creamy and has got nutty influence coming from the oak cask that differentiates it from Ballantine's 17. Sweeter on the palate with a more intense spiciness.
                ",40,700ml,ballantines,Yes,Scotland,,,21 Year,ballantines,ballantines,
51,Ballantines 23 Year 700ml American Oak Cask w/Gift Box,264.5,https://www.paneco.com.sg/products/ballantines-23-year-700ml-american-oak-cask-w-gift-box,"
A true celebration of Ballantine’s expertise, the Master Blender hand-selected each and every whisky for this aromatic blend, favouring high proportions of malt and grain whiskies and Single Malts from Glenburgie, a distillery affectionately known as the heart of Ballantine’s. Allowed to mature exclusively in American oak casks for 23 years, the rich aromas of the blend have had ample time to develop.
                ",40,700ml,ballantines,Yes,Scotland,,,23 Year,ballantines,ballantines,
52,Ballantines Finest 1L,63,https://www.paneco.com.sg/products/ballantines-finest-1l,"
The first ever Ballantine’s recipe. A refined and sweet whiskey, with a sweet finish and aromas of citrus fruits, vanilla and flowers. The recipe of the Ballantine's Finest is the most ancient of the distillery's whiskey recipes, and it was formulated as early as 1910 by the Ballantine family. It contains over 40 whiskey malts and grains, carefully chosen from the four regions owned by the Scottish distillery, which is rated third in the world among the best-selling whiskey brands.Perfect for mixing to start the night. Start the night with a Whisky that's stayed true to it's original recipe since 1910. 
                ",40,1000ml,ballantines,No,Scotland,,,,ballantines,ballantines,
53,Ballantines Glentauchers 15 Year 700ml,114.95,https://www.paneco.com.sg/products/ballantines-glentauchers-15-year-700ml,"
                  The Glentauchers Single Malt delivers the smooth and
delicate lingering finish of a Ballantine’s blend. With
hints of delicate floral heather on the nose and soft
berries and barley sugar sweets on the palate, this
whisky has an incredibly long, luscious finish.
                ",40,700ml,ballantines,No,Scotland,,,15 Year,ballantines,ballantines,
54,Ballantines Limited Edition Rare Whisky 700ml w/ Gift Box,190,https://www.paneco.com.sg/products/ballantines-limited-edition-rare-whisky-700ml-w-gift-box,"
                  A perfectly smooth blend of Ballantine’s most exclusive whiskies, Ballantines Limited Edition Rare Whisky offers an initial burst of flavour that evolves into a complex and luscious combination of ripe pears, peaches, and vanilla. A rich amber-gold colour, with gentle rich sweetness that evolves into fruity pear and orange flavours intertwined with creamy toffee and hints of spice and a long and mouth-watering finish. 
                ",40,700ml,ballantines,Yes,Scotland,,,,ballantines,ballantines,
55,Balvenie 12 Year - The Sweet Toast of American Oak Single Malt 700ml w/Gift Box,156.4,https://www.paneco.com.sg/products/balvenie-12-year-the-sweet-toast-of-american-oak-single-malt-700ml-w-gift-box,"
The Balvenie 12 Year - The Sweet Toast of American Oak came from Apprentice Malt Master Kelsey McKechnie bright idea to import Virgin Oak barrels from Kentucky. After deep toasting them at The Balvenie Cooperage they were filled with Balvenie aged in ex-bourbon barrels. The result is a delectably complex whisky with notes of candied fruit, coconut and delicate vanilla.
                ",43,700ml,balvenie,Yes,Scotland,,,12 Year,balvenie,balvenie,
